الشيخوخة المنتجة	老有所为	productive ageing	vieillissement productif	Активная старость	envejecimiento productivo
العمال المهرة	技术工人	skilled workers	travailleurs qualifies	Квалифицированные рабочие	trabajadores calificados
المدرسون	教学人员	teaching personnel	corps enseignant	Педагогические работники	personal docente
الكاولين	高岭土	kaolin	kaolin	Каолин	caolin
الموارد البحرية	海洋资源	marine resources	ressources marines	Морские ресурсы	recursos marinos
الداء الهولندي	荷兰病	dutch disease	syndrome hollandais	Голландская болезнь	enfermedad holandesa
تعيين أعضاء المكتب	指定官员	appointment of officers	designation du bureau	Назначение должностных лиц	designacion de la mesa
المحاقن	注射器	syringes	seringues	Шприцы	jeringas
تفجيرات  انتحارية	自杀携弹爆炸	suicide bombings	attentats-suicides	Взрывы бомб смертниками	atentado terrorista suicida
لحوم الغنم	山羊肉	goat meat	viande caprine	Козлятина	carne de cabra
إصدارات السندات الدولية	国际债券发行	international bond issues	emissions d'obligations internationales	Международные облигационные займы	emisiones internacionales de bonos
مكتبات التجارة	商业图书馆	business libraries	bibliotheques d'entreprise	Деловые библиотеки	bibliotecas de empresas
العلماء البحريون	海洋科学家	marine scientists	specialistes des sciences de la mer	Мореведы	cientificos marinos
الأمن الدولي	国际安全	international security	securite internationale	Международная безопасность	seguridad internacional
المعايير الغذائية	粮食标准	food standards	normes alimentaires	Стандарты на пищевые продукты	normas alimentarias
نقص البروتينات	蛋白质缺乏	protein deficiency	carence proteique	Белковая недостаточность	deficiencia proteica
التأخر الاقتصادي	经济滞后	economic lag	retard economique	Экономический лаг	retraso economico
التنمية المحلية	地方发展	local development	developpement local	Местное развитие	desarrollo local
مركبات عضوية متطايرة	挥发性有机化合物	volatile organic compounds	composes organiques volatils	Летучие органические соединения	compuestos organicos volatiles
انتشار الأسلحة	武器部署	weapons deployment	deploiement d'armes	Развертывание вооружений	emplazamiento de armas
مركز اللاجئين	难民身份	refugee status	statut du refugie	Статус беженца	condicion de refugiado
المؤشرات الاجتماعية	社会指标	social indicators	indicateurs sociaux	Социальные показатели	indicadores sociales
الرغوة اللدائنية	泡沫塑料	plastic foams	mousses plastiques	Пенопласты	espumas de plastico
الاتجاهات الإنمائية	发展趋势	development trends	tendances du developpement	Тенденции развития	tendencias del desarrollo
إيجار المساكن	租房	housing rent	loyer	Жилищная рента	alquiler de vivienda
البحوث الجنسانية	性别研究	gender research	recherche sur le sexe social	Гендерные исследования	investigacion sobre el genero
الزامبيون	赞比亚人	zambians	zambiens	Замбийцы	zambianos
السيلان	淋病	gonorrhea	blennorragie	Гонорея	gonorrea
الحرمان من حقوق المواطنة	取消国籍	denaturalization	denaturalisation	Лишение гражданства	desnaturalizacion
اتفاقات النقل	运输协定	transport agreements	accords de transport	Транспортные соглашения	acuerdos de transporte
عمال الحديد والصلب	钢铁工人	iron and steel workers	ouvriers siderurgistes	Работники черной металургии	obreros siderurgicos
الإعلانات	宣言	declarations	declarations	Декларации и заявления	declaraciones
سواتل لأغراض الملاحة	导航卫星	navigation satellites	satellites de navigation	Навигационные спутники	satelites de navegacion
الميزانية	预算	budget	budget	Бюджет	presupuesto
السعرات الحرارية	卡（路里）	calories	calories	Калории	calorias
الطفرة (الوراثية أوالجينية)	突变	mutation	mutation	Мутация	mutacion
صحة الأسرة	家庭保健	family health	sante de la famille	Здоровье семьи	salud de la familia
الحظر النفطي	石油禁运	oil embargo	embargo sur le petrole	Эмбарго на поставки нефти	embargo de petroleo
الدواء المهني	职业医学	occupational medicine	medecine du travail	Производственная санитария	medicina del trabajo
الغلاف المغنطيسي	磁层	magnetosphere	magnetosphere	Магнитосфера	magnetosfera
الملوثات العضوية الثابتة	持久性有机污染物	persistent organic pollutants	polluants organiques persistants	Стойкие органические загрязнители	contaminantes organicos persistentes
النباتات الملحية	盐生植物	halophytes	halophytes	Галофиты	halofitas
سويسرا	瑞士	switzerland	suisse	Швейцария	suiza
ماكاو	澳门	macau	macao	Макао	macao
صناعة الأفلام	电影工业	film industry	industrie cinematografique	Кино- и видеоиндустрия	industria cinematografica
تنظيم التجارة	贸易条例	trade regulation	reglementation commerciale	Торговое регулирование	reglamentacion del comercio
البلدان الأفريقية ناطقة بالإنكليزية	非洲英语国家	english-speaking africa	afrique anglophone	Англоязычная Африка	africa anglofona
المسرح	剧场	theatre	theatre	Театр	teatro
إعانات البحوث	研究补助金	research grants	subventions de recherche	Исследовательские гранты	subsidios de investigacion
أدب الأطفال	儿童文学	children's literature	litterature enfantine	Детская литература	literatura infantil
الإحصاءات المائية	水统计	water statistics	statistiques de l'eau	Водохозяйственная статистика	estadisticas de agua
الميتادون	美沙酮	methadone	methadone	Метадон	metadona
حقوق الملكية	财产权利	property rights	droits de propriete	Права собственности	derechos de propiedad
تشريعات الأراضي	土地立法	land legislation	legislation fonciere	Земельное законодательство	legislacion de la tierra
الأعاصير	飓风	hurricanes	ouragans	Ураганы	huracanes
بحوث البناء	建筑研究	building research	recherche sur la construction	Строительные исследования	investigacion en materia de edificacion
المحطات النووية لتوليد الكهرباء	核电站	nuclear power plants	centrales nucleaires	Атомные электростанции	centrales nucleares
غسل الأموال	洗钱	laundering of funds	blanchiment de capitaux	Отмывание средств	blanqueo de fondos
اللغة البنغالية	孟加拉语	bengali language	langue bengali	Бенгальский язык	lengua bengali
تمثيل الموظفون	工作人员代表	staff representation	representation du personnel	Представители персонала	representacion del personal
الرصد دون الصوتي	次声监测	infrasound monitoring	surveillance par infrasons	Инфразвуковой мониторинг	vigilancia infrasonica
الطلاء بالكهرباء	电镀	electroplating	galvanoplastie	Гальваностегия	galvanoplastia
تعاطي الخمر	酒精中毒	alcoholism	alcoolisme	Алкоголизм	alcoholismo
التصحاح	卫生	sanitation	assainissement	Санитария	saneamiento
عمال المناجم	矿工	miners	mineurs (profession)	Горнорабочие	mineros
الإجازة الأبوية	育儿假	parental leave	conge parental	Отпуск по уходу за ребенком	licencia parental
هيئات التسويق	销售局	marketing boards	offices de commercialisation	Советы по маркетингу	juntas de comercializacion
الإسمنت	水泥	cement	ciment	Цемент	cemento
اتحادات الاستثمار	投资信托	investment trusts	societes d'investissement	Инвестиционные трасты	fondos de inversion
تعليم علم المكتبات	图书馆教育	library education	formation des bibliothecaires	Библиотечное образование	formacion en bibliotecologia
الخرائط الملاحية	海图	nautical charts	cartes marines	Морские карты	cartas nauticas
الطاقة الكهربائية	电力	electric power	energie electrique	Электроэнергия	energia electrica
الوقود الأحفوري	矿物燃料	fossil fuels	combustibles fossiles	Ископаемое топливо	combustibles fosiles
الصهيونية	犹太复国主义	zionism	sionisme	Сионизм	sionismo
الشبكة الدولية	因特网	internet	internet	Интернет	internet
المحطات الفضائية	空间站	space stations	stations spatiales	Космические станции	estaciones espaciales
بحوث الخدمات الصحية	保健研究	health services research	recherche sur les services de sante	Исследование проблем здравоохранения	investigacion en materia de servicios de salud
تجارة الأغذية	粮食贸易	food trade	commerce alimentaire	Торговля продовольствием	comercio alimentario
صناعة النيكل	镍工业	nickel industry	industrie du nickel	Никелевая промышленность	industria del niquel
العمانيون	阿曼人	omanis	omanais	Оманцы	omanies
كليات المعلمين	师范学院	teachers colleges	instituts pedagogiques	Педагогические вузы	institutos pedagogicos
حجم الأسرة المعيشية	住户人数	household size	dimension du menage	Величина домохозяйства	tamaÑo de hogar
الاحتياطيات النقدية	通货准备金	monetary reserves	reserves monetaires	Валютные резервы	reservas monetarias
الدين	宗教	religion	religion	Религия	religion
التعاونيات الصناعية	工业合作社	industrial cooperatives	cooperatives industrielles	Промышленные кооперативы	cooperativas industriales
الميتالورجيا	冶金	metallurgy	metallurgie	Металлургия (наука)	metalurgia
المواقد	炉子	stoves	fours	Печи	cocinas
الأسرار الدولية	国家机密	state secrets	secrets d'etat	Государственные тайны	secretos de estado
المنتجات الطبيعية	自然产品	natural products	produits naturels	Натуральные продукты	productos naturales
وثائق السفر	旅行证件	travel documents	documents de voyage	Проездные документы	documentos de viaje
الميراث	遗产与继承	inheritance and succession	droit successoral	Наследование и правопреемство	derecho sucesorio
التين	无花果	figs	figues	Инжир	higos
الهندوسية	印度教	hinduism	hindouisme	Индуизм	hinduismo
إصلاح الخدمة المدنية	公务员制度改革	civil service reform	reforme de la fonction publique	Реформа гражданской службы	reforma de la funcion publica
الكرنب الصيني	白菜	chinese cabbage	choux chinois	Китайская капуста	col de china
علم الأمراض	病理学	pathology	pathologie	Патология	patologia
الأسواق	市场	markets	marches	Рынки	mercados
طب العيون	眼科学	ophthalmology	ophtalmologie	Офтальмология	oftalmologia
ميزان المدفوعات	收支	balance of payments	balance des paiements	Платежный баланс	balanza de pagos
المواقع والمعالم التاريخية	历史遗址和遗址	historic sites and monuments	sites et monuments historiques	Исторические объекты и памятники	lugares y monumentos historicos
الحكومة الاتحادية	联邦政府	federal government	gouvernement federal	Федеральные органы государственной власти	gobierno federal
ألبانيا	阿尔巴尼亚	albania	albanie	Албания	albania
جمهورية أفريقيا الوسطى	中非共和国	central african republic	republique centrafricaine	Центральноафриканская Республика	republica centroafricana
الخلاصات	摘要	abstracts	resumes	Рефераты	resumenes analiticos
الوضع (الاتجاهي)	态度	attitude	attitude	Поведенческая установка	actitud
تسويق المنتجات الزراعية	农产品销售	agricultural product marketing	commercialisation des produits agricoles	Маркетинг сельскохозяйственной продукции	comercializacion de productos agricolas
سفن الركاب	客轮	passenger ships	paquebots	Пассажирские суда	buques de pasajeros
الكهربة الريفية	农村电气化	rural electrification	electrification rurale	Электрификация сельских районов	electrificacion rural
الدرجات العلمية	学位	academic degrees	diplomes universitaires	Ученые степени	titulos y grados academicos
الغانيون	加纳人	ghanaians	ghaneens	Ганцы	ghaneses
حق المعتقلين في الاتصال	被捕人的通讯权	right of arrested persons to communicate	droit de communication des personnes arretees	Право арестованных на общение	derecho de comunicacion de los detenidos
الرفال	保险套	condoms	preservatifs	Презервативы	preservativos
فرض الضريبة	课税	taxation	fiscalite	Налогообложение	tributacion
مسببات السرطان	致癌因素	carcinogens	carcinogenes	Канцерогены	carcinogenos
المنطقة المتاخمة	毗连区	contiguous zone	zone contigue	Прилежащая зона	zona contigua
العطاءات	投标	tendering	soumission	Торги	licitacion
اللاجئون الأغنديون	乌干达难民	ugandan refugees	refugies ougandais	Угандийские беженцы	refugiados ugandeses
المساعدة الاقتصادية الداخلية	国内经济援助	domestic economic assistance	assistance economique nationale	Внутренняя экономическая помощь	asistencia economica nacional
اللغة البرتغالية	葡萄牙语	portuguese language	langue portugaise	Португальский язык	lengua portuguesa
الحمة	间歇泉	geysers	geysers	Гейзеры	geiseres
الأرصفة	人行道	pavements	chaussees	Дорожная одежда	pavimentos
الإصلاح التربوي	教育改革	educational reform	reforme de l'enseignement	Реформа образования	reforma de la educacion
النيوترونات	中子	neutrons	neutrons	Нейтроны	neutrones
الاستيطان المحلي	就地安置	local settlement	installation sur place	Обустройство на месте	asentamiento local
المسح بالمتابعة	跟踪调查	follow-up surveys	enquetes longitudinales	Повторные обследования	encuestas longitudinales
الحالة في الهند الصينية	印度支那局势	indo-china situation	situation en indochine	Положение в Индокитае	situacion en indochina
إحصاءات القطاع العام	公共部门统计	public sector statistics	statistiques du secteur public	Статистика государственного сектора	estadisticas del sector publico
الأمثال	格言	proverbs	proverbes	Пословицы	proverbios
حسن الجوار	睦邻友好	good neighbourliness	bon voisinage entre etats	Добрососедство	buena vecindad entre estados
اللغة الصربية	塞尔维亚语	serbian language	langue serbe	Сербский язык	lengua serba
الحركات السرية	地下运动	underground movements	mouvements clandestins	Подпольные движения	movimientos clandestinos
الكركم	姜黄	turmeric	curcuma	Турмерик	curcuma
المناطق الانتخابية	选区	election districts	circonscriptions electorales	Избирательные округа	distritos electorales
الأحداث المحتجزون	被拘留的少年	detained juveniles	jeunes detenus	Несовершеннолетние заключенные	menores detenidos
التمويل الصناعي	工业资金的筹措	industrial financing	financement industriel	Промышленное финансирование	financiacion industrial
مصاب الأنهار	河口	estuaries	estuaires	Эстуарии	estuarios
تحديد الوثائق	文献限制	documents limitation	limitation des documents	Сокращение объема документации	limitacion de documentos
مبدأ الأيدي النظيفة	干净的手原则	clean hands doctrine	thÉorie des mains propres	Доктрина «чистых рук»	doctrina de las manos limpias
التركيز الاقتصادي	经济集中	economic concentration	concentration economique	Экономическая концентрация	concentracion economica
داء المثقبيات	锥虫病	trypanosomiasis	trypanosomiase	Трипаносомоз	tripanosomiasis
الغاز الثقيل	重油	heavy oil	petrole lourd	Тяжелая нефть	petroleo pesado
كيمياء الأرض	地球化学	geochemistry	geochimie	Геохимия	geoquimica
